카테고리,채널명,구독자수,조회수,영상수
TV/방송,sankok esl,"1,060,000","8,750,000",99
BJ/인물/연예인,조섭 Jossup,"1,060,000","444,180,000","1,182"
BJ/인물/연예인,Sibongtv 시봉tv,"1,060,000","62,990,000",284
음악/댄스/가수,MORE THAN YOUTH,"1,050,000","250,380,000",702
음악/댄스/가수,Rock Music,"1,050,000","562,650,000","7,689"
게임,겜브링 GGAM BRING,"1,050,000","1,162,070,000","2,061"
음식/요리/레시피,핫도그TV,"1,050,000","734,390,000",879
TV/방송,이슈텔러 issueTeller,"1,050,000","452,310,000",568
TV/방송,밍꼬발랄Mingggo,"1,050,000","1,292,480,000",857
패션/미용,써니채널 Sunny's Channel,"1,040,000","94,720,000",162
패션/미용,kiu기우쌤,"1,040,000","285,830,000",314
교육/강의,법륜스님의 즉문즉설,"1,040,000","675,280,000","1,789"
뉴스/정치/사회,비디오머그 - VIDEOMUG,"1,040,000","1,700,560,000","5,042"
음식/요리/레시피,얌무YAMMoo,"1,040,000","202,790,000",593
IT/기술/컴퓨터,약사가 들려주는 약 이야기,"1,030,000","119,950,000",447
스포츠/운동,힙으뜸,"1,030,000","172,920,000",331
TV/방송,모비딕 Mobidic,"1,030,000","306,070,000","1,175"
음악/댄스/가수,빅마블,"1,030,000","8,210,000",9
영화/만화/애니,드림텔러(DreamTeller),"1,030,000","471,980,000",487
BJ/인물/연예인,소근커플 S.K.Couple,"1,030,000","359,150,000",394
취미/라이프,Bandung Oppa 반둥오빠,"1,030,000","84,190,000",348
BJ/인물/연예인,헌터퐝,"1,020,000","201,400,000",256
키즈/어린이,브레드이발소,"1,020,000","440,010,000",629
음악/댄스/가수,SUPER SOUND Bugs!,"1,020,000","643,560,000","2,974"
게임,킴성태TV,"1,020,000","688,470,000","1,613"
영화/만화/애니,B Man 삐맨,"1,020,000","485,190,000",510
취미/라이프,츄팝,"1,020,000","466,410,000",457
영화/만화/애니,DinoCore TUBA,"1,010,000","700,040,000",900
